rank,Status_name,Youtuber,subscribers,video_views,category,uploads,Country,Abbreviation,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_day,Created_month_number,Created_date
271,ok,Troom Troom,23800000,10414479943,Howto & Style,2425,United States,US,412,80,8,98052000,24500,392200,294200,4700000,100000,2015,Sep,12,9,9/12/2015
272,ok,Enrique Iglesias,23800000,17688774915,Music,443,United States,US,154,80,77,122914000,30700,491700,368700,5900000,100000,2007,Apr,12,4,4/12/2007
273,ok,Ninja,23700000,2543809954,Gaming,1732,United States,US,3590,81,19,8368000,2100,33500,25100,401700,,2011,Nov,11,11,11/11/2011
274,ok,FaZe Rug,23700000,7451792132,Gaming,0,Canada,CA,4057944,3885,7268,,0,0,0,0,1,2012,Nov,30,11,11/30/2012
275,ok,Mister Max,23700000,15510153803,People & Blogs,1099,United Kingdom,GB,208,11,74,32817000,8200,131300,98400,1600000,,2014,Sep,22,9,9/22/2014
276,ok,That Little Puff,23700000,20289689389,Pets & Animals,769,United States,US,118,81,1,755054000,188800,3000000,2300000,36200000,1100000,2020,Aug,29,8,8/29/2020
277,ok,NickyJamTV,23600000,15901824841,Music,392,,,193,3,78,77927000,19500,311700,233800,3700000,100000,2012,Jan,10,1,1/10/2012
278,ok,Juan De Dios Pantoja,23600000,2135644776,Entertainment,226,Mexico,MX,4529,11,10,46862000,11700,187400,140600,2200000,200000,2014,Jun,9,6,6/9/2014
279,ok,Logan Paul,23600000,5994002464,Entertainment,719,United States,US,1057,82,75,10803000,2700,43200,32400,518600,,2015,Aug,29,8,8/29/2015
280,ok,Maya and Mary,23600000,6766461070,Entertainment,552,United States,US,883,82,75,44542000,11100,178200,133600,2100000,400000,2013,Aug,30,8,8/30/2013
281,corrupted,Peppa Pig Espa���������,23600000,7920637200,Film & Animation,1251,United Kingdom,GB,668,12,19,53589000,13400,214400,160800,2600000,100000,2014,Jul,28,7,7/28/2014
282,ok,Jelly,23500000,14777034543,Gaming,6066,United Kingdom,GB,229,13,20,41669000,10400,166700,125000,2000000,,2014,May,27,5,5/27/2014
283,ok,Miss Katy,23500000,14696994366,People & Blogs,1044,United Kingdom,GB,235,13,76,59629000,14900,238500,178900,2900000,,2014,Nov,17,11,11/17/2014
284,ok,Tilak,23400000,9465863821,Film & Animation,6672,India,IN,493,56,20,367347000,91800,1500000,1100000,17600000,900000,2020,Oct,10,10,10/10/2020
285,ok,Valentina Pontes ofc,23400000,7926899136,Film & Animation,1291,Brazil,BR,667,14,77,28285000,7100,113100,84900,1400000,,2014,Apr,14,4,4/14/2014
286,ok,Sesame Street,23300000,22471357411,Entertainment,3657,United States,US,99,83,78,124187000,31000,496700,372600,6000000,100000,2006,Jan,16,1,1/16/2006
287,ok,Happy Lives,23200000,2634,Science & Technology,1,United States,US,4053372,84,79,6589000000,0,0,0,0,100000,2016,Mar,15,3,3/15/2016
288,ok,Lady Gaga,23200000,15751661213,People & Blogs,172,United States,US,198,83,79,143169000,35800,572700,429500,6900000,100000,2008,May,15,5,5/15/2008
289,ok,Akshay Nagwadiya,23200000,7966720147,Entertainment,595,,,660,,79,321179000,80300,1300000,963500,15400000,900000,2017,Oct,25,10,10/25/2017
290,ok,Wave Music Bhojpuri,23100000,12889240875,Music,22578,India,IN,293,59,81,52678000,13200,210700,158000,2500000,100000,2014,Aug,10,8,8/10/2014
291,ok,GMM GRAMMY OFFICIAL,23100000,25579831081,Music,15462,Thailand,TH,68,4,81,130233000,32600,520900,390700,6300000,,2010,Nov,8,11,11/8/2010
292,ok,TED,23100000,2551113422,People & Blogs,4445,United States,US,3568,85,4,13246000,3300,53000,39700,635800,100000,2006,Dec,6,12,12/6/2006
293,ok,unknown boy varun,23100000,9299371231,Music,456,India,IN,506,58,80,304021000,76000,1200000,912100,14600000,700000,2016,Sep,27,9,9/27/2016
